! FILETYPE CSV
! VERSION 2.0,1
! TIMESTAMP Sunday, 26 July 2020 01:13:25
! TIMEZONE 
! NAME Keysight Technologies
! MODEL N9926A
! SERIAL MY57271140
! FIRMWARE_VERSION A.10.18
! VF, 1.000
! Media, Coax
! IF_BW, 10000
! Output_Power_Mode, MAN
! Output_Power_Level, -45
! GPS_LATITUDE 
! GPS_LONGITUDE 
! GPS_TIMESTAMP 0001-01-01 00:00:00Z
! GPS_SECS_SINCE_LAST_READ 0
! CHECKSUM 1036347040
! CORRECTION1 ON U
! DATA Freq,S21
! FREQ UNIT Hz
! DATA UNIT Degrees
BEGIN
500000,-173.132303422801
750000,-281.599693377885
1000000,-371.610801898079
1250000,-429.141618996212
1500000,-489.494662428339
1750000,-528.918673278607
2000000,-550.248955774744
2250000,-567.834623850905
2500000,-583.677040469972
2750000,-598.018269056523
3000000,-606.634520454617
3250000,-616.983807705089
3500000,-625.513412156773
3750000,-636.240567325049
4000000,-642.75525565756
4250000,-650.331728528402
4500000,-659.228556049909
4750000,-663.840801784844
5000000,-673.776706887293
5250000,-674.225340721519
5500000,-681.105441027899
5750000,-683.492522156129
6000000,-690.471489009263
6250000,-692.806246642855
6500000,-701.992900235887
6750000,-699.953029030164
7000000,-705.006492630787
7250000,-708.886699243364
7500000,-713.723849433911
7750000,-712.869143235559
8000000,-722.617637939997
8250000,-720.401729944885
8500000,-722.357716913505
8750000,-727.730871927751
9000000,-729.650033201836
9250000,-732.919797041611
9500000,-735.855281126772
9750000,-735.936898367108
10000000,-740.535278474641
10250000,-748.524730562045
10500000,-742.908603606896
10750000,-742.469355512691
11000000,-751.753381418306
11250000,-747.864443537623
11500000,-750.479293159676
11750000,-757.008864727758
12000000,-753.657089106139
12250000,-759.293158722795
12500000,-759.215292951252
12750000,-762.982590638509
13000000,-761.720712333086
13250000,-767.284045585961
13500000,-766.373139898237
13750000,-769.339427563466
14000000,-781.324494915425
14250000,-772.579688333902
14500000,-774.786456411871
14750000,-775.501871691343
15000000,-780.367540808191
15250000,-783.449851711277
15500000,-782.688851286385
15750000,-785.745830050026
16000000,-789.417515649211
16250000,-789.726743461218
16500000,-791.107771613348
16750000,-792.655815490507
17000000,-795.14267145544
17250000,-797.347908300331
17500000,-801.2692315165
17750000,-800.711988878998
18000000,-799.510082989032
18250000,-803.670163383317
18500000,-806.050034111005
18750000,-806.864980598618
19000000,-808.503130984973
19250000,-811.161113549578
19500000,-809.228839437791
19750000,-812.044713092601
20000000,-812.713980630337
20250000,-815.302616860312
20500000,-816.994512268411
20750000,-825.191564477332
21000000,-818.507240984156
21250000,-823.222469384596
21500000,-824.065454726301
21750000,-825.574934770555
22000000,-823.79111444298
22250000,-828.678257692925
22500000,-831.367236487238
22750000,-830.191790475488
23000000,-834.746495708675
23250000,-833.986905992328
23500000,-836.992818475549
23750000,-836.155747491776
24000000,-841.420512560004
24250000,-844.209525854496
24500000,-845.141360488532
24750000,-844.323492837127
25000000,-842.189286600705
25250000,-850.016088752733
25500000,-846.442824112177
25750000,-849.705839587302
26000000,-853.841395854216
26250000,-853.807440879512
26500000,-860.286091076625
26750000,-859.376124853865
27000000,-857.795512187141
27250000,-862.910136780182
27500000,-863.075807731365
27750000,-860.188936422281
28000000,-862.522084906829
28250000,-867.271830378184
28500000,-870.358699996204
28750000,-867.666236895192
29000000,-872.949119542273
29250000,-871.638481771111
29500000,-874.770079898859
29750000,-877.330634432097
30000000,-880.456556404328
30250000,-879.233668148947
30500000,-881.711484498087
30750000,-884.188782568928
31000000,-882.188482771178
31250000,-885.773845744988
31500000,-887.581722053649
31750000,-888.091008614215
32000000,-890.488375557741
32250000,-891.780295512007
32500000,-894.72135692337
32750000,-900.508400461623
33000000,-893.44334914158
33250000,-904.213021487249
33500000,-902.495538537812
33750000,-902.004290817756
34000000,-908.692152978138
34250000,-908.799462237558
34500000,-911.252415073943
34750000,-909.448242116304
35000000,-914.682925622959
35250000,-921.594442065741
35500000,-917.469533980765
35750000,-917.961588891191
36000000,-921.124521808875
36250000,-919.108147690009
36500000,-922.404637608156
36750000,-927.390613735897
37000000,-927.398582180439
37250000,-929.656852634268
37500000,-929.595182631656
37750000,-931.624360507418
38000000,-937.031882960985
38250000,-937.417265696428
38500000,-937.097546143189
38750000,-940.97071450471
39000000,-940.450765312575
39250000,-946.557770100532
39500000,-947.655048880904
39750000,-945.548917512763
40000000,-947.961455481003
40250000,-949.738827592768
40500000,-953.973080650392
40750000,-955.662508130066
41000000,-957.829988286546
41250000,-960.256511524467
41500000,-963.084751623661
41750000,-963.249037708301
42000000,-964.656132477099
42250000,-964.16710642925
42500000,-973.399516292068
42750000,-970.330515772462
43000000,-970.719440604099
43250000,-976.050061622612
43500000,-975.420360953567
43750000,-977.222617157405
44000000,-977.123759320216
44250000,-980.763722698759
44500000,-983.081880392802
44750000,-984.298169735758
45000000,-985.164275858698
45250000,-988.934595242366
45500000,-991.497577958061
45750000,-988.69521815582
46000000,-995.332039377584
46250000,-994.288627719762
46500000,-994.301334018116
46750000,-999.018365356491
47000000,-1002.31625800996
47250000,-1001.55934545263
47500000,-1002.67607259685
47750000,-1002.24537143341
48000000,-1009.29589288444
48250000,-1008.92704593906
48500000,-1005.81356810485
48750000,-1013.57440472018
49000000,-1012.2752999515
49250000,-1012.3809644722
49500000,-1015.8246957713
49750000,-1017.00970167484
50000000,-1021.42660157105
50250000,-1019.20855459632
50500000,-1021.77996711095
50750000,-1024.63081771769
51000000,-1025.6504820617
51250000,-1030.40079874286
51500000,-1031.28599971434
