Machine Module,N9343C,CN0605A298
+2.326086957e+07,-7.394420624e+01,
+2.347826087e+07,-7.404388428e+01,
+2.369565217e+07,-7.420766449e+01,
+2.391304348e+07,-7.403965759e+01,
+2.413043478e+07,-7.418430328e+01,
+2.434782609e+07,-7.400618744e+01,
+2.456521739e+07,-7.386351776e+01,
+2.478260870e+07,-7.425338745e+01,
+2.500000000e+07,-7.404847717e+01,
+2.521739130e+07,-7.402355194e+01,
+2.543478261e+07,-7.428408813e+01,
+2.565217391e+07,-7.405989075e+01,
+2.586956522e+07,-7.392649841e+01,
+2.608695652e+07,-7.405432129e+01,
+2.630434783e+07,-7.390237427e+01,
+2.652173913e+07,-7.417846680e+01,
+2.673913043e+07,-7.430793762e+01,
+2.695652174e+07,-7.403597260e+01,
+2.717391304e+07,-7.399610901e+01,
+2.739130435e+07,-7.396693420e+01,
+2.760869565e+07,-7.409650421e+01,
+2.782608696e+07,-7.403263855e+01,
+2.804347826e+07,-7.379817200e+01,
+2.826086957e+07,-7.384718323e+01,
+2.847826087e+07,-7.430827332e+01,
+2.869565217e+07,-7.387495422e+01,
+2.891304348e+07,-7.408510590e+01,
+2.913043478e+07,-7.382016754e+01,
+2.934782609e+07,-7.426029968e+01,
+2.956521739e+07,-7.429895020e+01,
+2.978260870e+07,-7.425382996e+01,
+3.000000000e+07,-7.393746185e+01,
+3.021739130e+07,-7.418332672e+01,
+3.043478261e+07,-7.421562958e+01,
+3.065217391e+07,-7.451689911e+01,
+3.086956522e+07,-7.441045380e+01,
+3.108695652e+07,-7.390727234e+01,
+3.130434783e+07,-7.413538361e+01,
+3.152173913e+07,-7.361665344e+01,
+3.173913043e+07,-7.412026978e+01,
+3.195652174e+07,-7.415251160e+01,
+3.217391304e+07,-7.420699310e+01,
+3.239130435e+07,-7.410289001e+01,
+3.260869565e+07,-7.424018860e+01,
+3.282608696e+07,-7.440700531e+01,
+3.304347826e+07,-7.421486664e+01,
+3.326086957e+07,-7.431858063e+01,
+3.347826087e+07,-7.401655579e+01,
+3.369565217e+07,-7.412239838e+01,
+3.391304348e+07,-7.412924957e+01,
+3.413043478e+07,-7.409003448e+01,
+3.434782609e+07,-7.393090057e+01,
+3.456521739e+07,-7.406088257e+01,
+3.478260870e+07,-7.427925873e+01,
+3.500000000e+07,-7.454517365e+01,
+3.521739130e+07,-7.426432800e+01,
+3.543478261e+07,-7.432373047e+01,
+3.565217391e+07,-7.435266113e+01,
+3.586956522e+07,-7.429081726e+01,
+3.608695652e+07,-7.438421631e+01,
+3.630434783e+07,-7.422113037e+01,
+3.652173913e+07,-7.421772766e+01,
+3.673913043e+07,-7.418965912e+01,
+3.695652174e+07,-7.448803711e+01,
+3.717391304e+07,-7.440293884e+01,
+3.739130435e+07,-7.420472717e+01,
+3.760869565e+07,-7.468798065e+01,
+3.782608696e+07,-7.459806061e+01,
+3.804347826e+07,-7.434523010e+01,
+3.826086957e+07,-7.421267700e+01,
+3.847826087e+07,-7.436521912e+01,
+3.869565217e+07,-7.486190796e+01,
+3.891304348e+07,-7.468228149e+01,
+3.913043478e+07,-7.481968689e+01,
+3.934782609e+07,-7.469783783e+01,
+3.956521739e+07,-7.467422485e+01,
+3.978260870e+07,-7.460423279e+01,
+4.000000000e+07,-7.483494568e+01,
+4.021739130e+07,-7.456696320e+01,
+4.043478261e+07,-7.441154480e+01,
+4.065217391e+07,-7.439457703e+01,
+4.086956522e+07,-7.482148743e+01,
+4.108695652e+07,-7.491164398e+01,
+4.130434783e+07,-7.483869934e+01,
+4.152173913e+07,-7.459307861e+01,
+4.173913043e+07,-7.502730560e+01,
+4.195652174e+07,-7.494434357e+01,
+4.217391304e+07,-7.487046814e+01,
+4.239130435e+07,-7.476251984e+01,
+4.260869565e+07,-7.473565674e+01,
+4.282608696e+07,-7.491176605e+01,
+4.304347826e+07,-7.515821838e+01,
+4.326086957e+07,-7.528379822e+01,
+4.347826087e+07,-7.496675873e+01,
+4.369565217e+07,-7.529780579e+01,
+4.391304348e+07,-7.503820038e+01,
+4.413043478e+07,-7.536402893e+01,
+4.434782609e+07,-7.528043365e+01,
+4.456521739e+07,-7.517581940e+01,
+4.478260870e+07,-7.539768982e+01,
+4.500000000e+07,-7.524314880e+01,
+4.521739130e+07,-7.539744568e+01,
+4.543478261e+07,-7.544105530e+01,
+4.565217391e+07,-7.589656067e+01,
+4.586956522e+07,-7.556984711e+01,
+4.608695652e+07,-7.587543488e+01,
+4.630434783e+07,-7.586747742e+01,
+4.652173913e+07,-7.563801575e+01,
+4.673913043e+07,-7.590330505e+01,
+4.695652174e+07,-7.596681213e+01,
+4.717391304e+07,-7.619982910e+01,
+4.739130435e+07,-7.638830566e+01,
+4.760869565e+07,-7.610524750e+01,
+4.782608696e+07,-7.604541016e+01,
+4.804347826e+07,-7.635152435e+01,
+4.826086957e+07,-7.660313416e+01,
+4.847826087e+07,-7.634265137e+01,
+4.869565217e+07,-7.650579834e+01,
+4.891304348e+07,-7.671194458e+01,
+4.913043478e+07,-7.666764832e+01,
+4.934782609e+07,-7.686567688e+01,
+4.956521739e+07,-7.687610626e+01,
+4.978260870e+07,-7.723782349e+01,
+5.000000000e+07,-7.694773102e+01,
+5.021739130e+07,-7.722999573e+01,
+5.043478261e+07,-7.708140564e+01,
+5.065217391e+07,-7.732165527e+01,
+5.086956522e+07,-7.750569153e+01,
+5.108695652e+07,-7.761177826e+01,
+5.130434783e+07,-7.764739990e+01,
+5.152173913e+07,-7.811675262e+01,
+5.173913043e+07,-7.811680603e+01,
+5.195652174e+07,-7.815926361e+01,
+5.217391304e+07,-7.846125793e+01,
+5.239130435e+07,-7.816761017e+01,
+5.260869565e+07,-7.862181854e+01,
+5.282608696e+07,-7.911953735e+01,
+5.304347826e+07,-7.887542725e+01,
+5.326086957e+07,-7.903611755e+01,
+5.347826087e+07,-7.944863129e+01,
+5.369565217e+07,-7.920836639e+01,
