Machine Module,N9343C,CN0605A298
+2.326086957e+07,-7.828145599e+01,
+2.347826087e+07,-7.834938049e+01,
+2.369565217e+07,-7.857229614e+01,
+2.391304348e+07,-7.863018799e+01,
+2.413043478e+07,-7.824105072e+01,
+2.434782609e+07,-7.837250519e+01,
+2.456521739e+07,-7.836398315e+01,
+2.478260870e+07,-7.818020630e+01,
+2.500000000e+07,-7.853676605e+01,
+2.521739130e+07,-7.842024231e+01,
+2.543478261e+07,-7.856081390e+01,
+2.565217391e+07,-7.824311829e+01,
+2.586956522e+07,-7.866204071e+01,
+2.608695652e+07,-7.862534332e+01,
+2.630434783e+07,-7.819421387e+01,
+2.652173913e+07,-7.791481018e+01,
+2.673913043e+07,-7.840096283e+01,
+2.695652174e+07,-7.818815613e+01,
+2.717391304e+07,-7.812855530e+01,
+2.739130435e+07,-7.780274963e+01,
+2.760869565e+07,-7.806587219e+01,
+2.782608696e+07,-7.744989014e+01,
+2.804347826e+07,-7.811574554e+01,
+2.826086957e+07,-7.837956238e+01,
+2.847826087e+07,-7.846944427e+01,
+2.869565217e+07,-7.844753265e+01,
+2.891304348e+07,-7.848365021e+01,
+2.913043478e+07,-7.860284424e+01,
+2.934782609e+07,-7.835287476e+01,
+2.956521739e+07,-7.866352081e+01,
+2.978260870e+07,-7.844224548e+01,
+3.000000000e+07,-7.861341858e+01,
+3.021739130e+07,-7.886814117e+01,
+3.043478261e+07,-7.840711975e+01,
+3.065217391e+07,-7.854485321e+01,
+3.086956522e+07,-7.888662720e+01,
+3.108695652e+07,-7.908280945e+01,
+3.130434783e+07,-7.861366272e+01,
+3.152173913e+07,-7.871907043e+01,
+3.173913043e+07,-7.867454529e+01,
+3.195652174e+07,-7.893816376e+01,
+3.217391304e+07,-7.883670807e+01,
+3.239130435e+07,-7.861413574e+01,
+3.260869565e+07,-7.872581482e+01,
+3.282608696e+07,-7.873363495e+01,
+3.304347826e+07,-7.897394562e+01,
+3.326086957e+07,-7.863353729e+01,
+3.347826087e+07,-7.851970673e+01,
+3.369565217e+07,-7.911206818e+01,
+3.391304348e+07,-7.857315826e+01,
+3.413043478e+07,-7.849195099e+01,
+3.434782609e+07,-7.875276947e+01,
+3.456521739e+07,-7.803063202e+01,
+3.478260870e+07,-7.827902222e+01,
+3.500000000e+07,-7.807861328e+01,
+3.521739130e+07,-7.793622589e+01,
+3.543478261e+07,-7.822713470e+01,
+3.565217391e+07,-7.815772247e+01,
+3.586956522e+07,-7.802901459e+01,
+3.608695652e+07,-7.787907410e+01,
+3.630434783e+07,-7.780606842e+01,
+3.652173913e+07,-7.796614075e+01,
+3.673913043e+07,-7.846665955e+01,
+3.695652174e+07,-7.784603119e+01,
+3.717391304e+07,-7.810546875e+01,
+3.739130435e+07,-7.805706024e+01,
+3.760869565e+07,-7.848350525e+01,
+3.782608696e+07,-7.799014282e+01,
+3.804347826e+07,-7.821075439e+01,
+3.826086957e+07,-7.851809692e+01,
+3.847826087e+07,-7.846726227e+01,
+3.869565217e+07,-7.835087585e+01,
+3.891304348e+07,-7.832549286e+01,
+3.913043478e+07,-7.848512268e+01,
+3.934782609e+07,-7.878526306e+01,
+3.956521739e+07,-7.849125671e+01,
+3.978260870e+07,-7.838101959e+01,
+4.000000000e+07,-7.871763611e+01,
+4.021739130e+07,-7.861490631e+01,
+4.043478261e+07,-7.889230347e+01,
+4.065217391e+07,-7.907920837e+01,
+4.086956522e+07,-7.890915680e+01,
+4.108695652e+07,-7.878022766e+01,
+4.130434783e+07,-7.877134705e+01,
+4.152173913e+07,-7.892756653e+01,
+4.173913043e+07,-7.935011292e+01,
+4.195652174e+07,-7.887764740e+01,
+4.217391304e+07,-7.892105865e+01,
+4.239130435e+07,-7.893534088e+01,
+4.260869565e+07,-7.847625732e+01,
+4.282608696e+07,-7.859760284e+01,
+4.304347826e+07,-7.892640686e+01,
+4.326086957e+07,-7.892552185e+01,
+4.347826087e+07,-7.869474792e+01,
+4.369565217e+07,-7.877249146e+01,
+4.391304348e+07,-7.863050842e+01,
+4.413043478e+07,-7.900956726e+01,
+4.434782609e+07,-7.890557861e+01,
+4.456521739e+07,-7.909452820e+01,
+4.478260870e+07,-7.890581512e+01,
+4.500000000e+07,-7.883765411e+01,
+4.521739130e+07,-7.897898102e+01,
+4.543478261e+07,-7.920102692e+01,
+4.565217391e+07,-7.857721710e+01,
+4.586956522e+07,-7.913855743e+01,
+4.608695652e+07,-7.917417908e+01,
+4.630434783e+07,-7.873735809e+01,
+4.652173913e+07,-7.873238373e+01,
+4.673913043e+07,-7.897074127e+01,
+4.695652174e+07,-7.895336914e+01,
+4.717391304e+07,-7.904618835e+01,
+4.739130435e+07,-7.846980286e+01,
+4.760869565e+07,-7.884975433e+01,
+4.782608696e+07,-7.875821686e+01,
+4.804347826e+07,-7.871411896e+01,
+4.826086957e+07,-7.893797302e+01,
+4.847826087e+07,-7.877058411e+01,
+4.869565217e+07,-7.882217407e+01,
+4.891304348e+07,-7.853495789e+01,
+4.913043478e+07,-7.868894958e+01,
+4.934782609e+07,-7.854256439e+01,
+4.956521739e+07,-7.880709839e+01,
+4.978260870e+07,-7.897662354e+01,
+5.000000000e+07,-7.866734314e+01,
+5.021739130e+07,-7.865096283e+01,
+5.043478261e+07,-7.881198883e+01,
+5.065217391e+07,-7.884696960e+01,
+5.086956522e+07,-7.903037262e+01,
+5.108695652e+07,-7.914512634e+01,
+5.130434783e+07,-7.910823822e+01,
+5.152173913e+07,-7.892762756e+01,
+5.173913043e+07,-7.946492004e+01,
+5.195652174e+07,-7.900535583e+01,
+5.217391304e+07,-7.907551575e+01,
+5.239130435e+07,-7.883728027e+01,
+5.260869565e+07,-7.881416321e+01,
+5.282608696e+07,-7.906746674e+01,
+5.304347826e+07,-7.911331177e+01,
+5.326086957e+07,-7.889927673e+01,
+5.347826087e+07,-7.903755951e+01,
+5.369565217e+07,-7.883644867e+01,
+5.391304348e+07,-7.903247070e+01,
+5.413043478e+07,-7.878131104e+01,
+5.434782609e+07,-7.837648010e+01,
+5.456521739e+07,-7.868939209e+01,
+5.478260870e+07,-7.891030121e+01,
+5.500000000e+07,-7.822267151e+01,
+5.521739130e+07,-7.849732208e+01,
+5.543478261e+07,-7.822938538e+01,
+5.565217391e+07,-7.855000305e+01,
+5.586956522e+07,-7.876661682e+01,
+5.608695652e+07,-7.878348541e+01,
+5.630434783e+07,-7.901625061e+01,
+5.652173913e+07,-7.875446320e+01,
+5.673913043e+07,-7.852835846e+01,
+5.695652174e+07,-7.851618958e+01,
+5.717391304e+07,-7.873816681e+01,
+5.739130435e+07,-7.879414368e+01,
+5.760869565e+07,-7.941728973e+01,
+5.782608696e+07,-7.910570526e+01,
+5.804347826e+07,-7.920488739e+01,
+5.826086957e+07,-7.930323029e+01,
+5.847826087e+07,-7.949781799e+01,
+5.869565217e+07,-7.917787933e+01,
+5.891304348e+07,-7.929933167e+01,
+5.913043478e+07,-7.904324341e+01,
+5.934782609e+07,-7.902812195e+01,
+5.956521739e+07,-7.903833008e+01,
+5.978260870e+07,-7.936252594e+01,
+6.000000000e+07,-7.910300446e+01,
+6.021739130e+07,-7.932743073e+01,
+6.043478261e+07,-7.916904449e+01,
+6.065217391e+07,-7.899226379e+01,
+6.086956522e+07,-7.899714661e+01,
+6.108695652e+07,-7.889489746e+01,
+6.130434783e+07,-7.948471832e+01,
+6.152173913e+07,-7.928331757e+01,
+6.173913043e+07,-7.915624237e+01,
+6.195652174e+07,-7.890621948e+01,
+6.217391304e+07,-7.895201111e+01,
+6.239130435e+07,-7.920165253e+01,
+6.260869565e+07,-7.930366516e+01,
+6.282608696e+07,-7.915879822e+01,
+6.304347826e+07,-7.926619720e+01,
+6.326086957e+07,-7.936770630e+01,
+6.347826087e+07,-7.905979156e+01,
+6.369565217e+07,-7.911891174e+01,
+6.391304348e+07,-7.931778717e+01,
+6.413043478e+07,-7.907095337e+01,
+6.434782609e+07,-7.942250824e+01,
+6.456521739e+07,-7.922417450e+01,
+6.478260870e+07,-7.914207458e+01,
+6.500000000e+07,-7.925627899e+01,
+6.521739130e+07,-7.888151550e+01,
+6.543478261e+07,-7.903159332e+01,
+6.565217391e+07,-7.935984802e+01,
+6.586956522e+07,-7.918432617e+01,
+6.608695652e+07,-7.915286255e+01,
+6.630434783e+07,-7.902930450e+01,
+6.652173913e+07,-7.913122559e+01,
+6.673913043e+07,-7.912017059e+01,
+6.695652174e+07,-7.908193207e+01,
+6.717391304e+07,-7.920797729e+01,
+6.739130435e+07,-7.909812164e+01,
+6.760869565e+07,-7.904714203e+01,
+6.782608696e+07,-7.897070313e+01,
+6.804347826e+07,-7.894190979e+01,
+6.826086957e+07,-7.877968597e+01,
+6.847826087e+07,-7.877368164e+01,
+6.869565217e+07,-7.884243011e+01,
+6.891304348e+07,-7.928479767e+01,
+6.913043478e+07,-7.875176239e+01,
+6.934782609e+07,-7.946073914e+01,
+6.956521739e+07,-7.918202972e+01,
+6.978260870e+07,-7.889587402e+01,
+7.000000000e+07,-7.894976044e+01,
+7.021739130e+07,-7.907185364e+01,
+7.043478261e+07,-7.902064514e+01,
+7.065217391e+07,-7.898644257e+01,
+7.086956522e+07,-7.919438934e+01,
+7.108695652e+07,-7.902487946e+01,
+7.130434783e+07,-7.907457733e+01,
+7.152173913e+07,-7.940754700e+01,
+7.173913043e+07,-7.901918793e+01,
+7.195652174e+07,-7.896000671e+01,
+7.217391304e+07,-7.912977600e+01,
+7.239130435e+07,-7.892238617e+01,
+7.260869565e+07,-7.900561523e+01,
+7.282608696e+07,-7.894977570e+01,
+7.304347826e+07,-7.917382050e+01,
+7.326086957e+07,-7.844042206e+01,
+7.347826087e+07,-7.907958984e+01,
+7.369565217e+07,-7.912098694e+01,
+7.391304348e+07,-7.912424469e+01,
+7.413043478e+07,-7.887285614e+01,
+7.434782609e+07,-7.910755157e+01,
+7.456521739e+07,-7.901502228e+01,
+7.478260870e+07,-7.904547882e+01,
+7.500000000e+07,-7.886376953e+01,
+7.521739130e+07,-7.860530090e+01,
+7.543478261e+07,-7.891437531e+01,
+7.565217391e+07,-7.868663025e+01,
+7.586956522e+07,-7.872756958e+01,
+7.608695652e+07,-7.877439117e+01,
+7.630434783e+07,-7.858712769e+01,
+7.652173913e+07,-7.818360901e+01,
+7.673913043e+07,-7.843397522e+01,
+7.695652174e+07,-7.786478424e+01,
+7.717391304e+07,-7.710975647e+01,
+7.739130435e+07,-7.712510681e+01,
+7.760869565e+07,-7.634862518e+01,
+7.782608696e+07,-7.514956665e+01,
+7.804347826e+07,-7.492321777e+01,
+7.826086957e+07,-7.386389160e+01,
+7.847826087e+07,-7.406949615e+01,
+7.869565217e+07,-7.321327209e+01,
+7.891304348e+07,-7.358227539e+01,
+7.913043478e+07,-7.231248474e+01,
+7.934782609e+07,-7.168635559e+01,
+7.956521739e+07,-7.165218353e+01,
+7.978260870e+07,-7.168290710e+01,
+8.000000000e+07,-7.183171082e+01,
+8.021739130e+07,-7.130089569e+01,
+8.043478261e+07,-7.172058868e+01,
+8.065217391e+07,-7.334249115e+01,
+8.086956522e+07,-7.265185547e+01,
+8.108695652e+07,-7.189955139e+01,
+8.130434783e+07,-7.057359314e+01,
+8.152173913e+07,-7.171578217e+01,
+8.173913043e+07,-7.309669495e+01,
+8.195652174e+07,-7.284135437e+01,
+8.217391304e+07,-7.308558655e+01,
+8.239130435e+07,-7.272811127e+01,
+8.260869565e+07,-7.291172791e+01,
+8.282608696e+07,-7.160424042e+01,
+8.304347826e+07,-7.266107941e+01,
+8.326086957e+07,-7.369756317e+01,
+8.347826087e+07,-7.364346313e+01,
+8.369565217e+07,-7.316810608e+01,
+8.391304348e+07,-7.367553711e+01,
+8.413043478e+07,-7.400257111e+01,
+8.434782609e+07,-7.416252136e+01,
+8.456521739e+07,-7.399102020e+01,
+8.478260870e+07,-7.449244690e+01,
+8.500000000e+07,-7.468875122e+01,
+8.521739130e+07,-7.498368835e+01,
+8.543478261e+07,-7.584899902e+01,
+8.565217391e+07,-7.549148560e+01,
+8.586956522e+07,-7.591473389e+01,
+8.608695652e+07,-7.579657745e+01,
+8.630434783e+07,-7.583229065e+01,
+8.652173913e+07,-7.547445679e+01,
+8.673913043e+07,-7.664158630e+01,
+8.695652174e+07,-7.697514343e+01,
